_id,kind,_rev,articleDate,author,Tag,uploadDate,openWith,title,subject,language,Level,averageRating
002BobbyDarinMackTheKnife,Resource,30-640f6fdb1bf10687edf34be575c83f61,1914-01-01T05:00:00.000Z,"Darin, Bobby","[u'cc11a4c42d45448a3448193899aab654', u'845ca5617e959d8a09839f5cca871520']",1914-01-01T05:00:00.000Z,MP3,Music: Bobby Darin - Mack the Knife,[u'Music'],English,[u'Professional'],
002df5029d490ff332ae5f939abd2fae,Resource,8-4d83fafec0d3b5857a21155c0e283203,2014-08-26T04:00:00.000Z,Ghanaian Folktale,"[u'2cb04e36e7836460c98d481f7e9a5076', u'ebae4ec21799f5e85746c440aca24c36']",2014-08-26T04:00:00.000Z,PDF.js,African Storybooks - Anansi Gives People Stories,[u'Literature'],English,[u'Upper Primary'],
002df5029d490ff332ae5f939acb4898,Resource,6-5b9d0cb624468fcf0bf36225260531da,2014-08-26T04:00:00.000Z,"Reviva Schermbrucker, Sue Kramer","[u'2cb04e36e7836460c98d481f7e9a5076', u'ebae4ec21799f5e85746c440aca24c36']",2014-08-26T04:00:00.000Z,PDF.js,African Storybooks - Brown,[u'Literature'],English,[u'Early Education'],
002df5029d490ff332ae5f939adf1ef5,Resource,6-93cb54fe21a548189122c3c7fc13feec,2014-08-26T04:00:00.000Z,"Little Zebra Books, Jeremiah Dube","[u'2cb04e36e7836460c98d481f7e9a5076', u'ebae4ec21799f5e85746c440aca24c36']",2014-08-26T04:00:00.000Z,PDF.js,African Storybooks - Crocodile and Baboon,[u'Literature'],English,[u'Lower Primary'],
002df5029d490ff332ae5f939aed1d92,Resource,8-7d25af549240865d24dca6ab7b9551c4,2014-08-26T04:00:00.000Z,"Clare Verbeek, Thembani Dladla, Zanele Buthelezi, Kathy Arbuckle, Anonymous","[u'2cb04e36e7836460c98d481f7e9a5076', u'ebae4ec21799f5e85746c440aca24c36']",2014-08-26T04:00:00.000Z,PDF.js,African Storybooks - Feelings,[u'Literature'],English,[u'Lower Primary'],
002df5029d490ff332ae5f939afa8df8,Resource,6-03e0928f3c2ddb915aaf25969bfa9f1b,2014-08-26T04:00:00.000Z,"Southern African Folk Tale, Catherine Groenewald","[u'2cb04e36e7836460c98d481f7e9a5076', u'ebae4ec21799f5e85746c440aca24c36']",2014-08-26T04:00:00.000Z,PDF.js,African Storybooks - Grandmother and the Smelly Girl,[u'Literature'],English,[u'Lower Primary'],
00d8a12ca2cb9d39e58d80218a26672c,Resource,5-c1210b055d0f4b44e90c5cfc375cf574,2014-07-04T04:00:00.000Z,,"[u'c3c7a6ef326355af3985ac8ff13e8fd7', u'a81ae01d69d51a2e7e1e2513bafbb515', u'41d96d20b4c87ffd1545b6d457029c25']",2014-07-04T04:00:00.000Z,PDF.js,PC Repair and Maintenance,[u'Technology'],eng,[u'Upper Secondary'],
01437ce9681edbba3f8aecdd49630779,Resource,79-8246d3fad464b70f07efdc4ac5c9829c,2014-07-22T04:00:00.000Z,OLE Ghana,[u'c4ca60dd383b9b41ef7cb8ab015dfcc4'],2014-07-22T04:00:00.000Z,PDF.js,The LITE Team Members and Roles,[u'Learning'],,[u'Professional'],
01437ce9681edbba3f8aecdd49734630,Resource,121-d89dd53dd4b30824d247fe1a067fbe80,2014-07-22T04:00:00.000Z,Jon Saphier and Lucy West,"[u'41d96d20b4c87ffd1545b6d457034c4d', u'c4ca60dd383b9b41ef7cb8ab015dfcc4']",2014-07-22T04:00:00.000Z,PDF.js,How Coaches Can Maximize Student Learning,[u'Learning'],English,[u'Professional'],
01BornToRun,Resource,14-2b9798b107372f6fdc2f3d9e7b1e3225,2013-06-03T04:00:00.000Z,"Springsteen, Bruce","[u'cc11a4c42d45448a3448193899aab654', u'845ca5617e959d8a09839f5cca873e67', u'845ca5617e959d8a09839f5ccae425ab']",2013-06-03T04:00:00.000Z,MP3,Music: Bruce Springsteen - Born To Run,[u'Music'],English,[u'Early Education'],
01d06175e030019dfacc0db7bc3f872e,Resource,7-fa995425a19fe90fede49891d2c13465,2014-09-16T04:00:00.000Z,TeachAIDs,"[u'2cb04e36e7836460c98d481f7e432192', u'f1cedaf7528a34ddd5c5ad00fe5fa9cd', u'01e0dd79c13b3f781de91b3f1e042fc2', u'41d96d20b4c87ffd1545b6d4570178e5']",2014-09-16T04:00:00.000Z,Flow Video Player,HIV Prevention Tutorial ,[u'Health & Medicine'],Sawhili,[u'Professional'],
020e4133547b0cf080cba80fb3341332,Resource,5-12458e026d52d0d679ee77cd8853a3ae,2014-06-25T04:00:00.000Z,State Department,"[u'8a3b420659d5e7c63febeac7c8756f7c', u'c3b4ed2a80fe19ec997587b7d690e361']",2014-06-25T04:00:00.000Z,PDF.js,Human Population,[u'Environment'],English,"[u'Upper Primary', u'Lower Secondary', u'Upper Secondary']",
020e4133547b0cf080cba80fb337aa32,Resource,4-a18bd7919fe47428c7548962bd6ccf79,2014-06-25T04:00:00.000Z,Think Garden,"[u'8a3b420659d5e7c63febeac7c8756f7c', u'c3b4ed2a80fe19ec997587b7d690e361', u'845ca5617e959d8a09839f5ccaf6b009', u'01e0dd79c13b3f781de91b3f1e53292e']",2014-06-25T04:00:00.000Z,Native Video,Importance of Water,[u'Environment'],English,[u'Upper Primary'],
02202f3ef5cc65fd3fb7fffd920b2293,Resource,7-ab5575410898261d4713a15a61f31607,2014-04-15T04:00:00.000Z,Liberia,"[u'0eba9f2e83d474fd56db94ea2e27a8df', u'845ca5617e959d8a09839f5cca7935a0']",2014-04-15T04:00:00.000Z,PDF.js,Libyan Curriculum: Religion and Morality (Levels 1-6),[u'Religion'],English,"[u'Lower Primary', u'Upper Primary']",
02202f3ef5cc65fd3fb7fffd924e4f96,Resource,11-79d79163110f71c363b7e4d9b3cd7b52,2014-04-15T04:00:00.000Z,"MInistry of Education, Republic of Liberia","[u'0eba9f2e83d474fd56db94ea2e27a8df', u'2cb04e36e7836460c98d481f7e41c20c', u'41d96d20b4c87ffd1545b6d457025c5b']",2014-04-15T04:00:00.000Z,PDF.js,Liberian National Curriculum for Grades 7 to 9 - Science,[u'Science'],English,[u'Lower Secondary'],
02250566d9671e77b01d757843e2d245,Resource,79-fe3ef0082f841bb9fa17de073d84eee8,2014-08-14T04:00:00.000Z,United States Institute of Peace,"[u'41d96d20b4c87ffd1545b6d45703501a', u'41d96d20b4c87ffd1545b6d4570241bf', u'01e0dd79c13b3f781de91b3f1e51839e']",2014-08-14T04:00:00.000Z,PDF.js,Report: Women in Global Security,[u'Social Sciences'],English,[u'Undergraduate'],
02ba2467757479a4c6c0f1615a64bf93,Resource,8-5638f9a20abb232deccfc52d6aa46777,2014-06-02T04:00:00.000Z,,[u'845ca5617e959d8a09839f5cca7935a0'],2014-06-02T04:00:00.000Z,PDF.js,التربية الاسلامية الصف السادس,[u'Religion'],Arabic,[u'Upper Primary'],
02ba2467757479a4c6c0f1615accde0e,Resource,8-3680a20f40200aef04a83ace28d54988,2014-06-02T04:00:00.000Z,,[u'845ca5617e959d8a09839f5cca7935a0'],2014-06-02T04:00:00.000Z,PDF.js,التربية الاسلامية الصف الثامن,[u'Religion'],Arabic,[u'Lower Secondary'],
038fdb78f56811eb67e54425a8f844bf,Resource,6-aa60ee0c0efa29a6eefbd62dcaa359a4,2013-03-07T05:00:00.000Z,Mawleeo,[u'2cb04e36e7836460c98d481f7e498eb2'],2014-01-10T05:00:00.000Z,Native Video,Kow ilaa Toban,[u'Math'],Somali,[u'Early Education'],
039a921b0547c9d0ba034601beffdd5d,Resource,5-f9c22077ae56fc101fbf8a6029d61367,2014-08-20T04:00:00.000Z,International Women's Rights Action Watch,"[u'cc11a4c42d45448a344819389963334d', u'41d96d20b4c87ffd1545b6d45702290d']",2014-08-20T04:00:00.000Z,PDF.js,"International Covenant on Economic, Social, Cultural Rights: A Guide",[u'Social Sciences'],English,"[u'Early Education', u'Lower Primary', u'Upper Primary', u'Lower Secondary', u'Upper Secondary', u'Undergraduate', u'Graduate', u'Professional']",
03dda987d0902d5a67adca79ae90265e,Resource,5-130311966ef0b26c0c68e4c2a2f5f43f,2014-06-02T04:00:00.000Z,,"[u'cc11a4c42d45448a3448193899622952', u'845ca5617e959d8a09839f5ccab169e4', u'4e63f2e4fa01c6e628567e96a374383d']",2014-06-02T04:00:00.000Z,PDF.js,Social Sciences 6th SA,[u'Social Sciences'],Somali,[u'Lower Secondary'],
03dda987d0902d5a67adca79aed61487,Resource,5-3ed889954239dd1dcac9f4558c11f536,2014-06-02T04:00:00.000Z,,"[u'cc11a4c42d45448a34481938996c92cb', u'4e63f2e4fa01c6e628567e96a374383d']",2014-06-02T04:00:00.000Z,PDF.js,Somali 2nd SA,[u'Languages'],Somali,[u'Lower Primary'],
04867f07cb797e610efee86ba76d0f6b,Resource,269-700930cb7fd526c32da6560dab0f09bb,2014-04-16T04:00:00.000Z,,"[u'2cb04e36e7836460c98d481f7e432192', u'3037965c2de9e2915e2ad751cfa31dfc', u'2cb04e36e7836460c98d481f7ea6dfd8', u'01e0dd79c13b3f781de91b3f1e042fc2']",2014-04-16T04:00:00.000Z,PDF.js,Sixth Grade Health Standard,[u'Agriculture'],English,[u'Lower Secondary'],
04867f07cb797e610efee86ba7d7dbf9,Resource,7-7c077d5109de9d106a775e3a7330a6ae,2014-04-16T04:00:00.000Z,,"[u'cc11a4c42d45448a3448193899aa8f93', u'cc11a4c42d45448a3448193899c0de63', u'3037965c2de9e2915e2ad751cfa31dfc', u'2cb04e36e7836460c98d481f7ea6dfd8']",2014-04-16T04:00:00.000Z,PDF.js,Age-Appropriate Education Strategies to Promote Healthy Eating,[u'Agriculture'],English,[u'Upper Secondary'],
04867f07cb797e610efee86ba7f19042,Resource,6-497b7dc8c4fec745a03c2038848dd8c9,2014-04-16T04:00:00.000Z,,"[u'3037965c2de9e2915e2ad751cfa31dfc', u'1de97ab43cf23df1f0b786f99113c2a7', u'41d96d20b4c87ffd1545b6d4570260d0']",2014-04-16T04:00:00.000Z,PDF.js,Arguments people use against using condoms,[u'Health & Medicine'],English,"[u'Lower Primary', u'Upper Primary', u'Lower Secondary', u'Upper Secondary', u'Undergraduate', u'Graduate', u'Professional']",
04867f07cb797e610efee86ba7fdb747,Resource,7-1d443238dd77d57f8638beb5111ec448,2014-04-16T04:00:00.000Z,,"[u'41d96d20b4c87ffd1545b6d4570222ca', u'3037965c2de9e2915e2ad751cfa31dfc', u'eb711b7a5c824aa8079d06d1816f874b']",2014-04-16T04:00:00.000Z,PDF.js,Assembling a Community Advisory Commitee,[u'Agriculture'],English,[u'Professional'],
04a159e6e1f1bde124447fd51f6d2d5d,Resource,9-b0136c37715d88813ae3a1ea990f9fb4,2014-01-31T05:00:00.000Z,Healthy Roads,[u'2cb04e36e7836460c98d481f7e432192'],2014-01-31T05:00:00.000Z,PDF.js,Pain Chart,[u'Health & Medicine'],English,[u'Early Education'],
04a159e6e1f1bde124447fd51f7bbec4,Resource,9-7b231176532d302b4bf29eae75f0ddbd,2014-01-31T05:00:00.000Z,MN Department of Health,"[u'2cb04e36e7836460c98d481f7e432192', u'cc11a4c42d45448a3448193899ab815b']",2014-01-31T05:00:00.000Z,PDF.js,TB Disease,[u'Health & Medicine'],English,[u'Early Education'],
04a159e6e1f1bde124447fd51fae54b8,Resource,9-47368f3e7a90d31bed7a9a925bb8b4d5,2014-01-31T05:00:00.000Z,US Department of Health,"[u'2cb04e36e7836460c98d481f7e432192', u'cc11a4c42d45448a3448193899ab815b']",2014-01-31T05:00:00.000Z,PDF.js,The Flu (information),[u'Health & Medicine'],English,[u'Early Education'],
04a159e6e1f1bde124447fd51fc1bc32,Resource,8-f20dff5cc4dbbc78d11ec0bd4312e207,2014-01-31T05:00:00.000Z,Refugee Health Information Network,None,2014-01-31T05:00:00.000Z,PDF.js,Cold Sores,[u'Agriculture'],English,[u'Early Education'],
