title,_id,subject,language,Level
Music: Bobby Darin - Mack the Knife,002BobbyDarinMackTheKnife,Music,English,Professional
African Storybooks - Anansi Gives People Stories,002df5029d490ff332ae5f939abd2fae,Literature,English,Upper Primary
African Storybooks - Brown,002df5029d490ff332ae5f939acb4898,Literature,English,Early Education
African Storybooks - Crocodile and Baboon,002df5029d490ff332ae5f939adf1ef5,Literature,English,Lower Primary
African Storybooks - Feelings,002df5029d490ff332ae5f939aed1d92,Literature,English,Lower Primary
African Storybooks - Grandmother and the Smelly Girl,002df5029d490ff332ae5f939afa8df8,Literature,English,Lower Primary
PC Repair and Maintenance,00d8a12ca2cb9d39e58d80218a26672c,Technology,eng,Upper Secondary
The LITE Team Members and Roles,01437ce9681edbba3f8aecdd49630779,Learning,,Professional
How Coaches Can Maximize Student Learning,01437ce9681edbba3f8aecdd49734630,Learning,English,Professional
Music: Bruce Springsteen - Born To Run,01BornToRun,Music,English,Early Education
HIV Prevention Tutorial ,01d06175e030019dfacc0db7bc3f872e,Health & Medicine,Sawhili,Professional
Human Population,020e4133547b0cf080cba80fb3341332,Environment,English,"Upper Primary,Lower Secondary,Upper Secondary"
Importance of Water,020e4133547b0cf080cba80fb337aa32,Environment,English,Upper Primary
Libyan Curriculum: Religion and Morality (Levels 1-6),02202f3ef5cc65fd3fb7fffd920b2293,Religion,English,"Lower Primary,Upper Primary"
Liberian National Curriculum for Grades 7 to 9 - Science,02202f3ef5cc65fd3fb7fffd924e4f96,Science,English,Lower Secondary
Report: Women in Global Security,02250566d9671e77b01d757843e2d245,Social Sciences,English,Undergraduate
التربية الاسلامية الصف السادس,02ba2467757479a4c6c0f1615a64bf93,Religion,Arabic,Upper Primary
التربية الاسلامية الصف الثامن,02ba2467757479a4c6c0f1615accde0e,Religion,Arabic,Lower Secondary
Kow ilaa Toban,038fdb78f56811eb67e54425a8f844bf,Math,Somali,Early Education
"International Covenant on Economic, Social, Cultural Rights: A Guide",039a921b0547c9d0ba034601beffdd5d,Social Sciences,English,"Early Education,Lower Primary,Upper Primary,Lower Secondary,Upper Secondary,Undergraduate,Graduate,Professional"
Social Sciences 6th SA,03dda987d0902d5a67adca79ae90265e,Social Sciences,Somali,Lower Secondary
Somali 2nd SA,03dda987d0902d5a67adca79aed61487,Languages,Somali,Lower Primary
Sixth Grade Health Standard,04867f07cb797e610efee86ba76d0f6b,Agriculture,English,Lower Secondary
Age-Appropriate Education Strategies to Promote Healthy Eating,04867f07cb797e610efee86ba7d7dbf9,Agriculture,English,Upper Secondary
Arguments people use against using condoms,04867f07cb797e610efee86ba7f19042,Health & Medicine,English,"Lower Primary,Upper Primary,Lower Secondary,Upper Secondary,Undergraduate,Graduate,Professional"
Assembling a Community Advisory Commitee,04867f07cb797e610efee86ba7fdb747,Agriculture,English,Professional
Pain Chart,04a159e6e1f1bde124447fd51f6d2d5d,Health & Medicine,English,Early Education
TB Disease,04a159e6e1f1bde124447fd51f7bbec4,Health & Medicine,English,Early Education
The Flu (information),04a159e6e1f1bde124447fd51fae54b8,Health & Medicine,English,Early Education
Cold Sores,04a159e6e1f1bde124447fd51fc1bc32,Agriculture,English,Early Education
Cover Your Cough Poster,04a159e6e1f1bde124447fd51fe695fc,Agriculture,English,Early Education
Pregnancy Nutrition Information,04a159e6e1f1bde124447fd51ffbe490,HMD (Health & Medicine),English,All
Algebra Review Textbook,04c41ed6c9b47c8c55bedbabd096128b,Math,English,Upper Secondary
Quick Guide to Creating a Marketing Plan for Your Small Business,05160870439e6934d49688507f006700,Business and Finance,English,Upper Secondary
How to Grow Your Small Business Using Social Media and Become Successful,05160870439e6934d49688507f007568,Business and Finance,English,Upper Secondary
