, uploadDate,Collection,Level,Medium,Publisher,Tag,Year,_attachments,_id,_rev,addedBy,articleDate,attachments_md5,author,averageRating,description,filename,fromLevel,hidden,id,isWelcomeVideo,kind,language,linkToLicense,need_optimization,ok,openUrl,openWhichFile,openWith,resourceFor,resourceType,rev,subject,sum,timesRated,title,toLevel,type,uploadDate,views
0,1395676341991.0,,[u'Professional'],Audio/Music/Book,,"[u'cc11a4c42d45448a3448193899aab654', u'845ca5617e959d8a09839f5cca871520']",,"{u'002-BobbyDarin-MackTheKnife.mp3': {u'stub': True, u'length': 2947994, u'content_type': u'audio/mpeg', u'revpos': 0, u'digest': u'md5-OjDVsEdU6iCrZ0AqmFTitQ=='}}",002BobbyDarinMackTheKnife,30-640f6fdb1bf10687edf34be575c83f61,,1914-01-01T05:00:00.000Z,,"Darin, Bobby",,"[u'<b>Bobby Darin</b> (1936-1973) was an American singer and songwriter. He is best known for singing American classics. However, towards the end of his life, Darin switched from songs about love to songs about politics. Darin was an outspoken advocate for peace and against United States involvement in Vietnam.  In 1990, he was inducted into the Rock and Roll Hall of Fame and in 1999 into the Songwriters Hall of Fame. \n\nThe two songs included are <a href=""http://www.metrolyrics.com/mack-the-knife-lyrics-bobby-darin.html"" rel=""nofollow"">Mack the Knife</a>, from his Classics period, and <a href=""http://www.stlyrics.com/songs/b/bobbydarin10348/simplesongoffreedom603063.html"" rel=""nofollow"">Simple Song of Freedom</a>, a protest song against the war in Vietnam. \n\nSuggested Level: US (Upper Secondary)']",/002-BobbyDarin-MackTheKnife.mp3,0.0,,,,Resource,English,,,,,,MP3,,,,[u'Music'],,,Music: Bobby Darin - Mack the Knife,0.0,,1914-01-01T05:00:00.000Z,
1,,,[u'Upper Primary'],Text,africanstorybook.org,"[u'2cb04e36e7836460c98d481f7e9a5076', u'ebae4ec21799f5e85746c440aca24c36']",2014,"{u'Anansi gives people stories.pdf': {u'stub': True, u'length': 3139591, u'content_type': u'application/pdf', u'revpos': 3, u'digest': u'md5-d2L72kMQSS+asT/aoYy1Kw=='}}",002df5029d490ff332ae5f939abd2fae,8-4d83fafec0d3b5857a21155c0e283203,admin,2014-08-26T04:00:00.000Z,,Ghanaian Folktale,,,,,,,,Resource,English,https://creativecommons.org/licenses/by/4.0/,0.0,,,,PDF.js,Learner,,,[u'Literature'],0.0,0.0,African Storybooks - Anansi Gives People Stories,,,2014-08-26T04:00:00.000Z,
2,,,[u'Early Education'],Text,African Storybooks,"[u'2cb04e36e7836460c98d481f7e9a5076', u'ebae4ec21799f5e85746c440aca24c36']",2014,"{u'Brown.pdf': {u'stub': True, u'length': 2888736, u'content_type': u'application/pdf', u'revpos': 3, u'digest': u'md5-TvWmpdWvrtWGhC71r/Jd3A=='}}",002df5029d490ff332ae5f939acb4898,6-5b9d0cb624468fcf0bf36225260531da,admin,2014-08-26T04:00:00.000Z,,"Reviva Schermbrucker, Sue Kramer",,,,,,,,Resource,English,https://creativecommons.org/licenses/by-nc/4.0/,0.0,,,,PDF.js,Learner,,,[u'Literature'],0.0,0.0,African Storybooks - Brown,,,2014-08-26T04:00:00.000Z,
3,,,[u'Lower Primary'],Text,africanstorybook.org,"[u'2cb04e36e7836460c98d481f7e9a5076', u'ebae4ec21799f5e85746c440aca24c36']",2014,"{u'Crocodile and Baboon.pdf': {u'stub': True, u'length': 12461016, u'content_type': u'application/pdf', u'revpos': 3, u'digest': u'md5-OH0tEmZyduNW4ijuMiSGLA=='}}",002df5029d490ff332ae5f939adf1ef5,6-93cb54fe21a548189122c3c7fc13feec,admin,2014-08-26T04:00:00.000Z,,"Little Zebra Books, Jeremiah Dube",,,,,,,,Resource,English,https://creativecommons.org/licenses/by/4.0/,0.0,,,,PDF.js,Learner,,,[u'Literature'],0.0,0.0,African Storybooks - Crocodile and Baboon,,,2014-08-26T04:00:00.000Z,
4,,,[u'Lower Primary'],Text,africanstorybook.org,"[u'2cb04e36e7836460c98d481f7e9a5076', u'ebae4ec21799f5e85746c440aca24c36']",2007,"{u'Feelings.pdf': {u'stub': True, u'length': 628625, u'content_type': u'application/pdf', u'revpos': 3, u'digest': u'md5-khAfYZmZ4mZMuHLvOMdYZg=='}}",002df5029d490ff332ae5f939aed1d92,8-7d25af549240865d24dca6ab7b9551c4,admin,2014-08-26T04:00:00.000Z,,"Clare Verbeek, Thembani Dladla, Zanele Buthelezi, Kathy Arbuckle, Anonymous",,,,,,,,Resource,English,https://creativecommons.org/licenses/by/4.0/,0.0,,,,PDF.js,Learner,,,[u'Literature'],0.0,0.0,African Storybooks - Feelings,,,2014-08-26T04:00:00.000Z,
5,,,[u'Lower Primary'],Text,Africanstorybook.org,"[u'2cb04e36e7836460c98d481f7e9a5076', u'ebae4ec21799f5e85746c440aca24c36']",2014,"{u'Grandmother and the smelly girl.pdf': {u'stub': True, u'length': 13897652, u'content_type': u'application/pdf', u'revpos': 3, u'digest': u'md5-TPdiI/Lkje4Mruc+Ucc/WQ=='}}",002df5029d490ff332ae5f939afa8df8,6-03e0928f3c2ddb915aaf25969bfa9f1b,admin,2014-08-26T04:00:00.000Z,,"Southern African Folk Tale, Catherine Groenewald",,,,,,,,Resource,English,https://creativecommons.org/licenses/by/4.0/,0.0,,,,PDF.js,Learner,,,[u'Literature'],0.0,0.0,African Storybooks - Grandmother and the Smelly Girl,,,2014-08-26T04:00:00.000Z,
6,,,[u'Upper Secondary'],Text,,"[u'c3c7a6ef326355af3985ac8ff13e8fd7', u'a81ae01d69d51a2e7e1e2513bafbb515', u'41d96d20b4c87ffd1545b6d457029c25']",,"{u'pc_repair_tool_and_maintenance.pdf': {u'stub': True, u'length': 424697, u'content_type': u'application/pdf', u'revpos': 3, u'digest': u'md5-njT9pukO2ixoQytWNBOQZg=='}}",00d8a12ca2cb9d39e58d80218a26672c,5-c1210b055d0f4b44e90c5cfc375cf574,admin,2014-07-04T04:00:00.000Z,,,,,,,,,,Resource,eng,,0.0,,,,PDF.js,,,,[u'Technology'],0.0,0.0,PC Repair and Maintenance,,,2014-07-04T04:00:00.000Z,
7,,,[u'Professional'],Text,,[u'c4ca60dd383b9b41ef7cb8ab015dfcc4'],,"{u'The LITE Team Members And Roles.pdf': {u'stub': True, u'length': 100953, u'content_type': u'application/pdf', u'revpos': 3, u'digest': u'md5-MDc4RkYEXpSiu31PrlkGMA=='}}",01437ce9681edbba3f8aecdd49630779,79-8246d3fad464b70f07efdc4ac5c9829c,teacher,2014-07-22T04:00:00.000Z,,OLE Ghana,,,,,,,,Resource,,,0.0,,,,PDF.js,,,,[u'Learning'],0.0,0.0,The LITE Team Members and Roles,,,2014-07-22T04:00:00.000Z,
8,,,[u'Professional'],Text,Phi Delta Kappa (permission received from PDK and author JSaphier),"[u'41d96d20b4c87ffd1545b6d457034c4d', u'c4ca60dd383b9b41ef7cb8ab015dfcc4']",,"{u'Coaches Maximize Learning_permission.pdf': {u'stub': True, u'length': 177377, u'content_type': u'application/pdf', u'revpos': 119, u'digest': u'md5-itdCdM6r6t0RoCoND8BpsQ=='}}",01437ce9681edbba3f8aecdd49734630,121-d89dd53dd4b30824d247fe1a067fbe80,teacher,2014-07-22T04:00:00.000Z,,Jon Saphier and Lucy West,,,,,,,,Resource,English,,0.0,,,,PDF.js,,,,[u'Learning'],0.0,0.0,How Coaches Can Maximize Student Learning,,,2014-07-22T04:00:00.000Z,
9,1398782842767.0,,[u'Early Education'],Audio/Music/Book,,"[u'cc11a4c42d45448a3448193899aab654', u'845ca5617e959d8a09839f5cca873e67', u'845ca5617e959d8a09839f5ccae425ab']",,"{u'01 Born to Run.mp3': {u'stub': True, u'length': 5583360, u'content_type': u'audio/mpeg', u'revpos': 0, u'digest': u'md5-+4luDwlIlyFmh+F9ZEucMQ=='}}",01BornToRun,14-2b9798b107372f6fdc2f3d9e7b1e3225,,2013-06-03T04:00:00.000Z,,"Springsteen, Bruce",,"[u'<b>Bruce ""The Boss"" Springsteen</b> (1969-present) is an American singer and songwriter with hits like<i> The Rising, Born in the USA, Born to Run </i>and <i>Jungleland</i>. His particular style of rock and roll has been called ""heartland rock"" because of its basis in Americana. He was inducted into the Rock and Roll Hall of Fame in 1999 and has sold over 65 million albums so far. <br /><br />Songs Included:<br /><a href=""http://www.lyricsfreak.com/b/bruce+springsteen/born+to+run_20025020.html"" rel=""nofollow"">Born to Run</a><br /><a href=""http://www.lyricsfreak.com/b/bruce+springsteen/born+in+the+u+s+a_20024969.html"" rel=""nofollow"">Born in the USA</a> (written to protest America\'s involvement in Vietnam)<br /><a href=""http://www.lyricsfreak.com/b/bruce+springsteen/jungleland_20025021.html"" rel=""nofollow"">Jungleland</a><br /><br />Suggested Level: LS (Lower Secondary)<br />']",/01 Born to Run.mp3,0.0,,01BornToRun,,Resource,English,,,,,,MP3,,,,[u'Music'],,,Music: Bruce Springsteen - Born To Run,0.0,,2013-06-03T04:00:00.000Z,
