title,Level,id,subject
Music: Bobby Darin - Mack the Knife,Professional,002BobbyDarinMackTheKnife,Music
African Storybooks - Anansi Gives People Stories,Upper Primary,002df5029d490ff332ae5f939abd2fae,Literature
African Storybooks - Brown,Early Education,002df5029d490ff332ae5f939acb4898,Literature
African Storybooks - Crocodile and Baboon,Lower Primary,002df5029d490ff332ae5f939adf1ef5,Literature
African Storybooks - Feelings,Lower Primary,002df5029d490ff332ae5f939aed1d92,Literature
African Storybooks - Grandmother and the Smelly Girl,Lower Primary,002df5029d490ff332ae5f939afa8df8,Literature
PC Repair and Maintenance,Upper Secondary,00d8a12ca2cb9d39e58d80218a26672c,Technology
The LITE Team Members and Roles,Professional,01437ce9681edbba3f8aecdd49630779,Learning
How Coaches Can Maximize Student Learning,Professional,01437ce9681edbba3f8aecdd49734630,Learning
Music: Bruce Springsteen - Born To Run,Early Education,01BornToRun,Music
HIV Prevention Tutorial ,Professional,01d06175e030019dfacc0db7bc3f872e,Health & Medicine
Human Population,Upper Primary | Lower Secondary | Upper Secondary,020e4133547b0cf080cba80fb3341332,Environment
Importance of Water,Upper Primary,020e4133547b0cf080cba80fb337aa32,Environment
Libyan Curriculum: Religion and Morality (Levels 1-6),Lower Primary | Upper Primary,02202f3ef5cc65fd3fb7fffd920b2293,Religion
Liberian National Curriculum for Grades 7 to 9 - Science,Lower Secondary,02202f3ef5cc65fd3fb7fffd924e4f96,Science
Report: Women in Global Security,Undergraduate,02250566d9671e77b01d757843e2d245,Social Sciences
Islamic 6th SA,Upper Primary,02ba2467757479a4c6c0f1615a64bf93,Religion
Islamic 8th SA,Lower Secondary,02ba2467757479a4c6c0f1615accde0e,Religion
Kow ilaa Toban,Early Education,038fdb78f56811eb67e54425a8f844bf,Math
"International Covenant on Economic, Social, Cultural Rights: A Guide",Early Education | Lower Primary | Upper Primary | Lower Secondary | Upper Secondary | Undergraduate | Graduate | Professional,039a921b0547c9d0ba034601beffdd5d,Social Sciences
Social Sciences 6th SA,Lower Secondary,03dda987d0902d5a67adca79ae90265e,Social Sciences
Somali 2nd SA,Lower Primary,03dda987d0902d5a67adca79aed61487,Languages
6th Grade Health Standard,Lower Secondary,04867f07cb797e610efee86ba76d0f6b,Health & Medicine
Age-Appropriate Education Strategies to Promote Healthy Eating,Upper Secondary,04867f07cb797e610efee86ba7d7dbf9,Health & Medicine
Arguments people use against using condoms,Lower Primary | Upper Primary | Lower Secondary | Upper Secondary | Undergraduate | Graduate | Professional,04867f07cb797e610efee86ba7f19042,Health & Medicine
Assembling a Community Advisory Commitee,Professional,04867f07cb797e610efee86ba7fdb747,Health & Medicine
Pain Chart,Early Education,04a159e6e1f1bde124447fd51f6d2d5d,Health & Medicine
TB Disease,Early Education,04a159e6e1f1bde124447fd51f7bbec4,Health & Medicine
The Flu (information),Early Education,04a159e6e1f1bde124447fd51fae54b8,Health & Medicine
Cold Sores,A | l | l,04a159e6e1f1bde124447fd51fc1bc32,H | M | D |   | ( | H | e | a | l | t | h |   | & |   | M | e | d | i | c | i | n | e | )
Cover Your Cough,A | l | l,04a159e6e1f1bde124447fd51fe695fc,H | M | D |   | ( | H | e | a | l | t | h |   | & |   | M | e | d | i | c | i | n | e | )
Pregnancy Nutrition Information,A | l | l,04a159e6e1f1bde124447fd51ffbe490,H | M | D |   | ( | H | e | a | l | t | h |   | & |   | M | e | d | i | c | i | n | e | )
Algebra Review Textbook,Lower Secondary | Upper Secondary,04c41ed6c9b47c8c55bedbabd096128b,Math
Quick Guide to Creating a Marketing Plan for Your Small Business,Upper Secondary,05160870439e6934d49688507f006700,Business and Finance
How to Grow Your Small Business Using Social Media and Become Successful,Upper Secondary,05160870439e6934d49688507f007568,Business and Finance
Encyclopædia Britannica 11 ed. Vol. 29 (Index to List of contributors),Early Education | Lower Primary | Upper Primary | Lower Secondary | Upper Secondary | Undergraduate | Graduate | Professional,05275f41bb3e4fb3c90b4fef0b279dcf,Reference
Female Trafficking: Discussion,Upper Secondary,05d8e3cb608f8e6df367af3105104320,Social Sciences
Fun With Community Mobilization,Early Education,0619e48e39b2730cb592043af6e517ff,Human Development
"Encyclopædia Britannica 11 ed. Vol. 19 (Mun, Adrien Albert Marie de to Oddfellows, Order of)",Early Education | Lower Primary | Upper Primary | Lower Secondary | Upper Secondary | Undergraduate | Graduate | Professional,0638d80e556e13e60d95090866d330c4,Reference
African Women Profiles Erica Williams,Early Education,06614a1fa7945771301fbde5cdc9baf2,Human Development
"The Slang Dictionary: Etymological, Historical and Anecdotal",Early Education,076ab6579c21cefbe330ce5c1930a21d,Agriculture
1984 (Spanish),Upper Secondary,076ab6579c21cefbe330ce5c1962b86a,Literature
Badger's Parting Gifts,Early Education,076ab6579c21cefbe330ce5c1969b718,Literature
A Collection of Episodes: Burka Avenger (English Subtitles),Lower Primary,076ab6579c21cefbe330ce5c19d166e6,Human Development | Languages | Learning
Transfusion-transmitted Diseases_ Video,Professional,07771fa91355586f620c1bf1f6d0c4dc,Health & Medicine
End Child Marriage report (en),Professional,07c2f492eec8debccd0bd335b0ea4345,Social Sciences
NGOs for Women,Professional,07c2f492eec8debccd0bd335b0f6fc8c,Social Sciences
Sirta Nolosha- Life's Essence Poem,Upper Secondary | Undergraduate | Graduate | Professional,07c60487d5ffdb1cc79d896cd6c5f793,Languages
Sirta Nolosha- Lifes Essence Poem,Lower Secondary | Upper Secondary | Undergraduate | Graduate | Professional,07c60487d5ffdb1cc79d896cd6ca6d7d,Languages
Naomi Walks to School,Lower Secondary,082526b6e113ae6c91ce34489267ff41,Math
Blackline Bridges in Math Grade 5 Practice Book,Upper Primary | Lower Secondary,082526b6e113ae6c91ce34489270d424,Math
Music: The Who - My Generation,Early Education,08BehindBlueEyes,Music
Food Safety Pre and Post Test,Upper Secondary,08ca8e19dd797f1d39babd4f56403480,Food and Nutrition
Food Safety Word Search Puzzle,Upper Primary,08ca8e19dd797f1d39babd4f56562cb1,Food and Nutrition
My Plate- Fill in the blank- Answers,Lower Secondary,08ca8e19dd797f1d39babd4f56664305,Food and Nutrition
My Plate- Fill in the blank,Lower Secondary,08ca8e19dd797f1d39babd4f56698921,Food and Nutrition
My Plate,Upper Primary,08ca8e19dd797f1d39babd4f566baed1,Food and Nutrition
Your Heart Loves Food From the Food Pyramid,Upper Primary,08ca8e19dd797f1d39babd4f566ebbd2,Food and Nutrition
Floods and Diarrhea among Children,Professional,097e7eb5c12493e559e1a2b494b80d01,Health & Medicine
Children Mental Health and Wellbeing in Famine,Professional,097e7eb5c12493e559e1a2b494fa5716,Human Development
Mobilizing School Response to Disasters,Professional,097e7eb5c12493e559e1a2b494fc9bdc,Environment
الكتاب اللغة العربية الصف الأول - الصو,Lower Primary,0a4b78c403209bfafca7223c359188f7,Languages
الكتاب اللغة العربية الصف الثالث - الصومال,Lower Primary,0a4b78c403209bfafca7223c35febba9,Languages
The Yellow Wallpaper,Early Education,0aacf3839dd9c580aff1ff0b2503d674,Agriculture
The Legend of Sleepy Hollow,Lower Secondary,0aacf3839dd9c580aff1ff0b258e0159,Literature
Strengthening Interventions to Reduce Helminth Infections,Early Education,0aacf3839dd9c580aff1ff0b25af13df,Agriculture
Are You My Mother?,Lower Primary,0aacf3839dd9c580aff1ff0b25c25f03,Human Development
Around the World in 80 Days,Upper Primary,0aacf3839dd9c580aff1ff0b25e51850,Agriculture
Mathematics,L | P |   | ( | L | o | w | e | r |   | P | r | i | m | a | r | y | ),0ba64ecf8ff5fd2e524c5825ef00cb2d,M | A | T |   | ( | M | a | t | h | )
Reading Changed My Life,Lower Secondary | Upper Secondary,0c0062a793415f111ce29d1571008031,Human Development
Catch Phrase - Open Secret,Upper Primary,0c5ddbc929f42978284d1f6ef8780bc7,Literature
Catch Phrase - Short Straw,Upper Primary,0c5ddbc929f42978284d1f6ef87c4518,Learning
Catch Phrase - Wits End,Upper Primary,0c5ddbc929f42978284d1f6ef87f26bf,Learning
Child Literacy ,Lower Secondary,0c5ddbc929f42978284d1f6ef88900de,Learning
Soil Science,Undergraduate | Graduate | Professional,0c7fd41f153da8b625c130730827e935,Agriculture
Exploring Humanitarian Issues- Module 2- Limits in Armed Conflict,Upper Secondary,0cbde79ed3cfa97a18cb2511eebb3b97,Human Development
Exploring Humanitarian Issues- Module 4- Dealing with Violations,Upper Secondary,0cbde79ed3cfa97a18cb2511eecbcd97,Human Development
Exploring Humanitarian Issues- Where do we go from here,Upper Secondary,0cbde79ed3cfa97a18cb2511eed82edd,Human Development
Peace Education Book,Upper Secondary,0cbde79ed3cfa97a18cb2511eeff0130,Human Development
Improving School Health Programs: Barriers and Strategies ,Undergraduate,0d0c95c07894e4fa55807d4e313a1289,Health & Medicine
Les Miserables,Upper Secondary | Undergraduate | Graduate | Professional,0d0c95c07894e4fa55807d4e317d30d5,Literature
Peace Education Program - Facilitators and Trainers Training Guide,Professional,0d6d9b2df72788f1054f8fbcfabc7cfb,Learning
Peace Education Program - Manual for Training of Facilitators 1,Undergraduate | Graduate | Professional,0d6d9b2df72788f1054f8fbcfac0c628,Human Development | Learning
African Storybooks - Lazy Little Brother,Lower Primary,0d80f209da12d581ab50d1bc9622599a,Literature
African Storybooks - Listen To My Body,Lower Primary,0d80f209da12d581ab50d1bc962ab6a7,Literature
African Storybooks - Little and Big,Lower Primary,0d80f209da12d581ab50d1bc962efaf3,Literature
African Storybooks - Look at the Animals,Lower Primary,0d80f209da12d581ab50d1bc96343cb0,Literature
African Storybooks - Mwari and the Ogre,Lower Primary,0d80f209da12d581ab50d1bc963f24cd,Literature
African Storybooks - My Family and I,Lower Primary,0d80f209da12d581ab50d1bc9643d80a,Literature
African Storybooks - Namukhaywa,Lower Primary,0d80f209da12d581ab50d1bc9648c349,Literature
African Storybooks - No Pigs Allowed,Upper Primary,0d80f209da12d581ab50d1bc964cdefe,Literature
African Storybooks - Nozibele and the Three Hairs,Early Education | Lower Primary,0d80f209da12d581ab50d1bc96523213,Literature
African Storybooks - Refiloe and the Washed Chickens,Upper Primary,0d80f209da12d581ab50d1bc965ea4cb,Literature
African Storybooks - Stealing,Lower Primary,0d80f209da12d581ab50d1bc966f1562,Literature
African Storybooks - The Boy Who Played,Lower Primary,0d80f209da12d581ab50d1bc967e82c8,Literature
The Watsons Go To Birmingham (Audio 1),Upper Primary,0db3dbfb4309081552cd3aa2f4ae6de8,Literature
The Watsons Go To Birmingham (Audio 2),Upper Primary,0db3dbfb4309081552cd3aa2f4c47069,Literature
Theory of Change 2,Professional,0e148640fd27ed4e953650143d016d1e,Learning | Social Sciences
Leader Training Manual,Professional,0e148640fd27ed4e953650143d019e66,Learning | Social Sciences
Tiger Leader Manual,Professional,0e148640fd27ed4e953650143d01b072,Learning
Liberian National Curriculum for Grades 10 to 12 - Chemistry ,Upper Secondary,0eba9f2e83d474fd56db94ea2e09d021,Science
Libyan Curriculum: Language Arts (Levels 1-6),Lower Primary | Upper Primary,0eba9f2e83d474fd56db94ea2e709394,Languages | Learning | Literature
Libyan Curriculum: Math (Levels 1-6),Lower Primary | Upper Primary,0eba9f2e83d474fd56db94ea2e8bbe36,Math
Libyan Curriculum: Music and Culture (Levels 1-6),Upper Primary,0eba9f2e83d474fd56db94ea2eb425c8,Music
Libyan Curriculum: Physical Education (Levels 7-9),Upper Primary | Lower Secondary,0eba9f2e83d474fd56db94ea2efc84b3,Human Development | Sports
Vegetables- Lesson Plan,Upper Primary | Lower Secondary,0ef9d038d00a773096e960196cd8c574,Languages | Learning
Word Games,Lower Secondary | Upper Secondary,0ef9d038d00a773096e960196ce0c6ef,Languages | Learning
BeLL Demo - Student member,Professional,0f1a4430bd5854b95481ec041ad2f477,Technology
BeLL Demo - Teacher,Professional,0f1a4430bd5854b95481ec041ae95203,Technology
Computer Basics 15 - Basic Troubleshooting Techniques,Upper Secondary,0f38274957237d6e03acbc84f5442713,Technology
Computer Basics 18 - Quiz Answers,Upper Secondary,0f38274957237d6e03acbc84f5aa02eb,Technology
The Little Nigerian Prince and the Soldier Ants Book,Lower Primary,0fdf6d265b7ec4785cd94ae62da68199,Languages | Learning
Fundamentals Of Research Methodology And Statistics,Early Education,1.fundamentalOfResearchMethodologyAndStatistics,Math
1000 Sunnah Per Day,Early Education,1000SunnahPerDayIslamicSomalianBook,Business and Finance
To Build A Fire and Other Stories - To the Man on the Trail (Audio),Upper Secondary,102e9e6abafaacf1ce964f0ed7d484e6,Literature
Gulliver's Travels (01),Lower Primary,11de09e858e2e0381916a31527328e1c,Literature
Science 8th SA,Lower Secondary,120954ac422ecd006066bcab6d406734,Science
Social Sciences 8th SA,Lower Secondary,120954ac422ecd006066bcab6d6d337a,Social Sciences
Somali 6th SA,Lower Secondary,120954ac422ecd006066bcab6da10841,Languages
Nikola Tesla and the Electric Fair,Upper Secondary,120954ac422ecd006066bcab6dc035be,Science
A Collection of LP Worksheets - Learn to Read,Lower Primary,121d6e94140215473f158f1fbd09cdd1,Learning
School Health and Nutrition,Lower Secondary | Upper Secondary | Undergraduate | Graduate | Professional,123549e,Food and Nutrition | Health & Medicine
Skills for Life: Standards 1-2 (Teacher's Guide),Early Education | Lower Primary | Upper Primary | Lower Secondary | Upper Secondary | Undergraduate | Graduate | Professional,126881cd60a9fbc806f6e5dfa9c9c9ee,Health & Medicine
Child Literacy Lesson Plan,Upper Primary | Lower Secondary,1277fd80ae1526b051f7faef241b8c69,Languages
Adventures of Sherlock Holmes,Upper Secondary,13217e2e9344e6c7bd1a84e18afb7946,Literature
Augmented Realities- Transcript,Upper Primary | Lower Secondary,136f6f1ff2a3b0f8de45e9983777a8fa,Languages | Learning
"Nutritious Agriculture, How To",Professional,137232dacfe9852afc6f3fd7703bbdc1,Human Development
"Sustainable Rural Business, How To",Professional,137232dacfe9852afc6f3fd7705a866a,Business and Finance | Environment | Food and Nutrition
Cholera Prenvention in Dadaab (English Sub),Upper Primary,13db6b54a9f363f02e38c3f79444e4a4,Health & Medicine
Welcome Video,Lower Primary,140e5686f8abb9c84f77d8d14000773a,Technology
Guidelines for the Provision of Safe Water and Sanitation Facilities in Schools,Professional,1462969b7ec00845f44984601a8f78ab,Health & Medicine
